"";"log2FoldChange";"pvalue";"padj";"reject";"Family";"Genus";"Species"
"ASV8";7,61889903947465;0,00223306897706524;0,0522538140633267;TRUE;"Ruminococcaceae";"Subdoligranulum";NA
"ASV24";9,17262719298059;1,10299715082234e-07;1,29050666646214e-05;TRUE;"Lachnospiraceae";"Dorea";NA
"ASV41";8,66782594209871;0,00120318320215622;0,0522538140633267;TRUE;"Lachnospiraceae";"Anaerostipes";NA
"ASV57";6,32480588535558;0,00731862342124275;0,107034867535675;TRUE;"Lachnospiraceae";"Fusicatenibacter";NA
"ASV91";5,97769897932769;0,0117712409730427;0,114769599487166;TRUE;"Coriobacteriaceae";"Collinsella";NA
"ASV118";7,19147308715982;0,00295934000453739;0,057707130088479;TRUE;"Lachnospiraceae";"[Eubacterium] hallii group";NA
"ASV119";13,3360707655297;0,00166831029168733;0,0522538140633267;TRUE;"Lactobacillaceae";"Ligilactobacillus";NA
"ASV148";7,5948598998324;0,00860154219506047;0,111820048535786;TRUE;"Lachnospiraceae";"Coprococcus";NA
"ASV815";10,495049908664;0,00190570881903031;0,0522538140633267;TRUE;"Acidaminococcaceae";"Acidaminococcus";NA
"ASV2019";7,20483395836697;0,0112324284077447;0,114769599487166;TRUE;"Anaerovoracaceae";"Mogibacterium";NA
"ASV5733";6,80725150295614;0,00530121345980807;0,0886059963996492;TRUE;"Lachnospiraceae";"GCA-900066575";NA
"ASV8697";4,90456272471178;0,0110007209573452;0,114769599487166;TRUE;"Defluviitaleaceae";"Defluviitaleaceae UCG-011";NA
