"";"log2FoldChange";"pvalue";"padj";"reject";"Family";"Genus";"Species"
"ASV8";5,46376323513261;0,0347287051383832;0,0347287051383832;TRUE;"Ruminococcaceae";"Subdoligranulum";NA
"ASV12";7,70514789711513;0,0421827490517995;0,0421827490517995;TRUE;"Bifidobacteriaceae";"Bifidobacterium";NA
"ASV24";7,43676711203412;2,16795878825369e-05;2,16795878825369e-05;TRUE;"Lachnospiraceae";"Dorea";NA
"ASV41";6,65158507214175;0,0173502911964094;0,0173502911964094;TRUE;"Lachnospiraceae";"Anaerostipes";NA
"ASV91";7,41841782457782;0,00374920157881117;0,00374920157881117;TRUE;"Coriobacteriaceae";"Collinsella";NA
"ASV119";12,0466409967248;0,00721059166499264;0,00721059166499264;TRUE;"Lactobacillaceae";"Ligilactobacillus";NA
"ASV338";7,36781214137707;0,0347881473606842;0,0347881473606842;TRUE;"Lachnospiraceae";"CAG-56";NA
"ASV487";8,94167032296721;0,00594855157399292;0,00594855157399292;TRUE;"Lachnospiraceae";"[Eubacterium] ventriosum group";NA
"ASV530";6,60147212429266;0,0034636552669937;0,0034636552669937;TRUE;"Ruminococcaceae";"Faecalibacterium";NA
"ASV709";4,3655950398149;0,0407601604874592;0,0407601604874592;TRUE;"Anaerovoracaceae";"Family XIII AD3011 group";NA
"ASV815";10,8056752216448;0,00292483974485723;0,00292483974485723;TRUE;"Acidaminococcaceae";"Acidaminococcus";NA
"ASV930";6,63027992910515;0,0210591369680741;0,0210591369680741;TRUE;"Ruminococcaceae";"Incertae Sedis";NA
"ASV1444";7,01393383007835;0,0436426796507029;0,0436426796507029;TRUE;"Eggerthellaceae";"Enterorhabdus";NA
"ASV1670";7,01349640893685;0,0471299737012215;0,0471299737012215;TRUE;"Eggerthellaceae";"Adlercreutzia";NA
"ASV2019";7,63902429046531;0,0125223990735603;0,0125223990735603;TRUE;"Anaerovoracaceae";"Mogibacterium";NA
"ASV2562";5,58574604527884;0,037982801233414;0,037982801233414;TRUE;"Atopobiaceae";"Olsenella";NA
"ASV5166";5,02097573163231;0,0301680724906944;0,0301680724906944;TRUE;"Saccharimonadaceae";"TM7x";NA
"ASV5733";7,45079549441444;0,00465592631431374;0,00465592631431374;TRUE;"Lachnospiraceae";"GCA-900066575";NA
"ASV8697";6,05311217159125;0,00368232863806158;0,00368232863806158;TRUE;"Defluviitaleaceae";"Defluviitaleaceae UCG-011";NA
