"";"log2FoldChange";"pvalue";"padj";"reject";"Family";"Genus";"Species"
"ASV8";8,64596696515033;0,00054809228704052;0,00054809228704052;TRUE;"Ruminococcaceae";"Subdoligranulum";NA
"ASV12";7,47752060148834;0,0364474159749549;0,0364474159749549;TRUE;"Bifidobacteriaceae";"Bifidobacterium";NA
"ASV24";10,065086554439;7,80535273136169e-09;7,80535273136169e-09;TRUE;"Lachnospiraceae";"Dorea";NA
"ASV41";9,65030161820838;0,000350501745720628;0,000350501745720628;TRUE;"Lachnospiraceae";"Anaerostipes";NA
"ASV57";7,56436898514409;0,00107942107023573;0,00107942107023573;TRUE;"Lachnospiraceae";"Fusicatenibacter";NA
"ASV77";7,17484714842457;0,0415923273954028;0,0415923273954028;TRUE;"Erysipelatoclostridiaceae";"Erysipelotrichaceae UCG-003";NA
"ASV91";5,1799947772109;0,0294899918696229;0,0294899918696229;TRUE;"Coriobacteriaceae";"Collinsella";NA
"ASV118";8,63732660073848;0,000194793670815694;0,000194793670815694;TRUE;"Lachnospiraceae";"[Eubacterium] hallii group";NA
"ASV119";13,4148813829725;0,00164691655225234;0,00164691655225234;TRUE;"Lactobacillaceae";"Ligilactobacillus";NA
"ASV148";8,70295436528972;0,00266482285441297;0,00266482285441297;TRUE;"Lachnospiraceae";"Coprococcus";NA
"ASV160";10,7261163668156;0,0195368424497528;0,0195368424497528;TRUE;"Erysipelatoclostridiaceae";"Catenibacterium";NA
"ASV530";4,12341548605874;0,048750406980863;0,048750406980863;TRUE;"Ruminococcaceae";"Faecalibacterium";NA
"ASV815";10,0601624863456;0,00324394005556522;0,00324394005556522;TRUE;"Acidaminococcaceae";"Acidaminococcus";NA
"ASV958";5,51055800981691;0,0287519838259733;0,0287519838259733;TRUE;"Lachnospiraceae";"Lachnospiraceae FCS020 group";NA
"ASV2019";6,73027595918761;0,0191664762109623;0,0191664762109623;TRUE;"Anaerovoracaceae";"Mogibacterium";NA
"ASV2562";5,25986209484655;0,0379956494630319;0,0379956494630319;TRUE;"Atopobiaceae";"Olsenella";NA
"ASV5733";6,26548046489191;0,0110610081607273;0,0110610081607273;TRUE;"Lachnospiraceae";"GCA-900066575";NA
"ASV8697";4,2006595729024;0,0301414143469395;0,0301414143469395;TRUE;"Defluviitaleaceae";"Defluviitaleaceae UCG-011";NA
