"";"log2FoldChange";"pvalue";"padj";"reject";"Family";"Genus";"Species"
"ASV6";2,05265014529667;0,00056706317569489;0,00056706317569489;TRUE;"Lachnospiraceae";"Blautia";NA
"ASV11";1,81071662727564;0,0160700318902598;0,0160700318902598;TRUE;"Lachnospiraceae";"Agathobacter";NA
"ASV17";1,70996514278289;0,0496621864945039;0,0496621864945039;TRUE;"Oscillospiraceae";"UCG-002";NA
"ASV24";1,46997821359162;0,00667021610151058;0,00667021610151058;TRUE;"Lachnospiraceae";"Dorea";NA
"ASV45";2,05318979828608;0,0245578022483611;0,0245578022483611;TRUE;"Peptostreptococcaceae";"Romboutsia";NA
"ASV55";2,06503569153037;0,0168701567903;0,0168701567903;TRUE;"Ruminococcaceae";"Ruminococcus";NA
"ASV88";1,90373168259384;0,0451771844123802;0,0451771844123802;TRUE;"Clostridiaceae";"Clostridium sensu stricto 1";NA
"ASV91";1,394448484258;0,0347459196021955;0,0347459196021955;TRUE;"Coriobacteriaceae";"Collinsella";NA
"ASV162";2,38558341139068;0,00563745714846706;0,00563745714846706;TRUE;"Streptococcaceae";"Streptococcus";NA
"ASV163";2,56668106788028;0,0143568485275136;0,0143568485275136;TRUE;"Lachnospiraceae";"[Eubacterium] eligens group";NA
"ASV183";2,88286189048403;0,0256992569298945;0,0256992569298945;TRUE;"Prevotellaceae";"Prevotellaceae NK3B31 group";NA
"ASV311";1,14863548909577;0,0274387335078236;0,0274387335078236;TRUE;"Lachnospiraceae";"[Ruminococcus] torques group";NA
"ASV313";2,43076277337276;0,0162019231332143;0,0162019231332143;TRUE;"Lachnospiraceae";"[Ruminococcus] gauvreauii group";NA
"ASV709";1,53465939959827;0,00538426396707342;0,00538426396707342;TRUE;"Anaerovoracaceae";"Family XIII AD3011 group";NA
"ASV958";1,85643759299594;0,0106462544553081;0,0106462544553081;TRUE;"Lachnospiraceae";"Lachnospiraceae FCS020 group";NA
"ASV1679";2,11577683747756;0,03733594992186;0,03733594992186;TRUE;"Erysipelatoclostridiaceae";"Erysipelatoclostridium";NA
"ASV1938";1,52792590291477;0,0226889027674531;0,0226889027674531;TRUE;"Rikenellaceae";"Rikenella";NA
"ASV2372";3,15509811295961;0,00128350442269121;0,00128350442269121;TRUE;"Lachnospiraceae";"Tyzzerella";NA
"ASV2697";1,52716802373806;0,0212234878728951;0,0212234878728951;TRUE;"Lactobacillaceae";"Lactobacillus";NA
"ASV6362";1,30167118681773;0,00501326608735825;0,00501326608735825;TRUE;"Ruminococcaceae";"Paludicola";NA
"ASV6583";1,30658036107389;0,0455455740679959;0,0455455740679959;TRUE;"Actinomycetaceae";"Actinomyces";NA
