"";"log2FoldChange";"pvalue";"padj";"reject";"Family";"Genus";"Species"
"ASV24";1,62474127353687;0,0379321610499462;0,0379321610499462;TRUE;"Lachnospiraceae";"Dorea";NA
"ASV49";7,60742443584949;0,00200090869915175;0,00200090869915175;TRUE;"Veillonellaceae";"Dialister";NA
"ASV57";3,05299591655055;0,00734727262319224;0,00734727262319224;TRUE;"Lachnospiraceae";"Fusicatenibacter";NA
"ASV77";4,95526564298236;0,0052911137245265;0,0052911137245265;TRUE;"Erysipelatoclostridiaceae";"Erysipelotrichaceae UCG-003";NA
"ASV118";3,90183506395489;0,000661004829142564;0,000661004829142564;TRUE;"Lachnospiraceae";"[Eubacterium] hallii group";NA
"ASV223";3,03815904023334;0,00857517918380379;0,00857517918380379;TRUE;"Lachnospiraceae";"Roseburia";NA
"ASV263";4,76797729585567;0,020716163696537;0,020716163696537;TRUE;"Sutterellaceae";"Sutterella";NA
"ASV313";4,39054563090573;0,013897064285851;0,013897064285851;TRUE;"Lachnospiraceae";"[Ruminococcus] gauvreauii group";NA
"ASV338";4,52613021487204;0,00624807928253334;0,00624807928253334;TRUE;"Lachnospiraceae";"CAG-56";NA
"ASV384";4,68113013764785;0,0267818045289391;0,0267818045289391;TRUE;"Barnesiellaceae";"Barnesiella";NA
"ASV487";5,007850223607;0,00115920200524329;0,00115920200524329;TRUE;"Lachnospiraceae";"[Eubacterium] ventriosum group";NA
"ASV939";5,18477769551585;0,0108611560950159;0,0108611560950159;TRUE;"Prevotellaceae";"Prevotella";NA
"ASV954";2,83921952253502;0,0415957413281968;0,0415957413281968;TRUE;"Lachnospiraceae";"Marvinbryantia";NA
"ASV958";3,36968706352639;0,00776035587527952;0,00776035587527952;TRUE;"Lachnospiraceae";"Lachnospiraceae FCS020 group";NA
