"";"log2FoldChange";"pvalue";"padj";"reject";"Family";"Genus";"Species"
"ASV15";1,5589776702589;0,0118947721401494;0,297369303503734;FALSE;"Lachnospiraceae";"Blautia";"Blautia_massiliensis"
"ASV60";1,94085623390953;0,0464495897636066;0,348371923227049;FALSE;"Tannerellaceae";"Parabacteroides";"Parabacteroides_merdae"
"ASV121";1,90520726084542;0,0250453690143828;0,348371923227049;FALSE;"Lachnospiraceae";"Blautia";"Blautia_obeum"
"ASV140";2,23128386811633;0,00689711906842021;0,258641965065758;FALSE;"Lachnospiraceae";"Blautia";"Blautia_faecis"
"ASV215";2,02169188561568;0,040605171189274;0,348371923227049;FALSE;"Peptostreptococcaceae";"Intestinibacter";"Intestinibacter_bartlettii"
"ASV282";2,14271748030438;0,043958383650202;0,348371923227049;FALSE;"Bifidobacteriaceae";"Bifidobacterium";"Bifidobacterium_bifidum"
"ASV457";1,9581054538485;0,0254904661384919;0,348371923227049;FALSE;"Lachnospiraceae";"Dorea";"Dorea_formicigenerans"
"ASV462";1,9324554079593;0,0327315275832306;0,348371923227049;FALSE;"Lachnospiraceae";"Roseburia";"Roseburia_intestinalis"
"ASV547";2,77269996561989;0,00538916994186165;0,258641965065758;FALSE;"Lachnospiraceae";"Blautia";"Blautia_wexlerae"
"ASV618";1,69467820851737;0,0358127639382365;0,348371923227049;FALSE;"Ruminococcaceae";"Ruminococcus";"Ruminococcus_callidus"
